Model,RMSE,MAE,R2,AIC,BIC,Notes
GLR,28611.48267461163,21746.31721511532,0.38936633579760027,71511.25974323756,71895.61339766064,
Polynomial,28611.481380843612,21746.317798596985,0.38936639102146275,14414.096201480226,14709.543929401963,
RF,28794.10554166917,21751.859078773454,0.3815462891557788,14420.952959266424,14711.855337527826,pseudo AIC/BIC
