feature,coef,se,t,p,ci_lo,ci_hi,abs_t
STATE_NAME_OHE_Minnesota,-8101.750517520038,1.0020132306329196E7,-8.085472596407318E-4,0.9993548726951451,-1.9647561070922747E7,1.9631357569887705E7,8.085472596407318E-4
STATE_NAME_OHE_Indiana,7428.369292534769,1.0020132096442766E7,7.413444474621152E-4,0.9994084927653142,-1.9632030539735287E7,1.9646887278320357E7,7.413444474621152E-4
STATE_NAME_OHE_New Hampshire,-7188.149221746073,1.0020132767674806E7,-7.173706564982072E-4,0.9994276210779001,-1.9646648373864364E7,1.9632272075420875E7,7.173706564982072E-4
STATE_NAME_OHE_Delaware,-7108.928165080312,1.0020132661882797E7,-7.094644756673845E-4,0.9994339292959145,-1.9646568945455365E7,1.96323510891252E7,7.094644756673845E-4
STATE_NAME_OHE_North Dakota,-6703.722634366267,1.0020133393589491E7,-6.690252884911751E-4,0.9994661950913475,-1.964616517406977E7,1.9632757728801034E7,6.690252884911751E-4
STATE_NAME_OHE_Kansas,-6695.740085623626,1.0020132304784678E7,-6.682287101564884E-4,0.9994668306687602,-1.9646155057463594E7,1.9632763577292345E7,6.682287101564884E-4
STATE_NAME_OHE_South Carolina,6328.584750063926,1.002013239144552E7,6.315869394566906E-4,0.9994960665657062,-1.9633130902483154E7,1.964578807198328E7,6.315869394566906E-4
STATE_NAME_OHE_Florida,6324.89565066107,1.0020131386711804E7,6.312188340213612E-4,0.9994963602712912,-1.9633132622304473E7,1.9645782413605798E7,6.312188340213612E-4
STATE_NAME_OHE_Arkansas,-6263.40939733072,1.002013196744128E7,-6.25082525627667E-4,0.9995012563360528,-1.964572206558224E7,1.9633195246787578E7,6.25082525627667E-4
STATE_NAME_OHE_Iowa,-5958.1185109991575,1.0020132953483095E7,-5.946147160580397E-4,0.9995255661263884,-1.9645418707337864E7,1.9633502470315866E7,5.946147160580397E-4
STATE_NAME_OHE_Pennsylvania,-5819.495197114991,1.002013172388838E7,-5.807803088297822E-4,0.9995366043844174,-1.964527767401834E7,1.963363868362411E7,5.807803088297822E-4
STATE_NAME_OHE_Missouri,-5783.9589185767745,1.0020131901965303E7,-5.772338104094553E-4,0.9995394340802775,-1.964524248677057E7,1.963367456893342E7,5.772338104094553E-4
STATE_NAME_OHE_Illinois,5753.13204504834,1.0020131398722904E7,5.741573454597207E-4,0.9995418887437559,-1.9633704409451842E7,1.964521067354194E7,5.741573454597207E-4
STATE_NAME_OHE_Arizona,-5602.6028869095835,1.0020131779384516E7,-5.591346511466461E-4,0.9995538751176856,-1.964506089048056E7,1.9633855684706744E7,5.591346511466461E-4
STATE_NAME_OHE_Rhode Island,-5599.451835407986,1.0020132394158052E7,-5.588201447989435E-4,0.9995541260574055,-1.964505894438519E7,1.9633860040714372E7,5.588201447989435E-4
STATE_NAME_OHE_Ohio,5200.993506556412,1.0020131734709615E7,5.190544040993227E-4,0.9995858545233487,-1.9634257206524286E7,1.9644659193537403E7,5.190544040993227E-4
STATE_NAME_OHE_Vermont,-4755.880994491697,1.0020134153845455E7,-4.7463246713782956E-4,0.9996212980966337,-1.9644218822531585E7,1.9634707060542602E7,4.7463246713782956E-4
STATE_NAME_OHE_Idaho,-4637.530308644517,1.0020132888247227E7,-4.6282123803806537E-4,0.9996307220929412,-1.964409799127321E7,1.963482293065592E7,4.6282123803806537E-4
MIN_EDULEVELS_NAME_OHE_Master's degree,6799.914998638489,1.5582053118007254E7,4.363940327465725E-4,0.9996518079498966,-3.0534024196295578E7,3.0547624026292857E7,4.363940327465725E-4
STATE_NAME_OHE_Michigan,-4348.998861661233,1.002013171867583E7,-4.3402611699758746E-4,0.9996536972731351,-1.964380716746629E7,1.9635109169742964E7,4.3402611699758746E-4
STATE_NAME_OHE_Hawaii,-3975.5144470071878,1.0020133289566992E7,-3.9675265109961275E-4,0.9996834371935353,-1.964343676199831E7,1.9635485733104296E7,3.9675265109961275E-4
